#SERVO3-S Parameter Limitcheck
#
# Index|Subindex|IndexID|SubindexID|Category|ShortName|Datatype|WriteLevel|Persistent|MinVal|MaxVal|DefaultVal|Limittest|Recordable|CANopenPDO|Trigger|ResetType|ParTakeOver|InDevice|ModuleCode|AmpOffOnly|ModeToggle|ActionCmd|InPLCopen|Unit|Sercos2IDN
#
1|1|MAND|PRGNR|identification|_prgNoDEV|UINT32|4|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
2|1|DEVCFG|IDCPU|no|HW rev. CPU|UINT32|0|0|NDef|NDef|NDef|1|0||0|NoRes||1||0|0|0|0||
4|1|PARAM|STORE|command|PAReeprSave|UINT16|1|0|0|1|NDef|1|0||0|NoRes|Sofort|1||0|0|0|0||
5|1|DEVICE|DEVCONTROL|configuration|DEVcmdinterf|UINT16|1|1|0|3|0|2|0||0|FactRes|Hochlauf|1||1|0|0|1||
6|9|MOTION|SPEEDLIMPROF|configuration|RAMP_v_max|UINT32|1|1|1|2147483647|13200|2|0||0|UsrParRes|n�chste Bewegung|1||1|0|0|1|usr_v|
7|14|IOF|FUNCDQ5|no|IOfunct_DQ5|UINT16|1|1|NDef|NDef|NDef|1|0||0|NoRes|Hochlauf|0||1|0|0|0||
8|1|IO|IOACT|monitoring|_IO_act|UINT16|0|0|NDef|NDef|NDef|1|0|T_PDO|0|NoRes||1||0|0|0|0||
9|9|ANALOG|WINANA1|setting|AI1_win|UINT16|1|1|0|1000|0|3|0||0|FactRes|Sofort|1||0|0|0|1|mV|
10|42|CAPT|CAP2TIMEFILTER|setting|Cap2TimeFilter|UINT16|1|0|0|8|0|3|0||0|NoRes|anderer Parameter|0||0|0|0|0||
27|59|DCOM|TOUCHPROBESTATUS|no|TouchProbeStat|UINT16|0|0|NDef|NDef|NDef|1|0||0|NoRes|Sofort|0||0|0|0|0||
28|1|STD|CTRLWORD|command||UINT16|1|0|0|255|0|1|0||0|NoRes|Sofort|1||0|0|0|0||
64|9|FBUS|IODATAMS09|monitoring|_IOdataMtoS09|UINT32|0|0|0|4294967295|0xFFFFFFFF|1|0||0|NoRes||0||0|0|0|0||
94|4|MOCTD|RESIST01|no||UINT16|1|0|NDef|NDef|NDef|1|0||0|NoRes|Hochlauf|1||1|0|0|1||
95|1|MOCMD|NMAX|configuration|M_n_max|UINT16|1|0|1|26400|NDef|1|0||0|NoRes|Hochlauf|1||1|0|0|1|motor_v|
96|4|MOCAD|HALLOFFSET|no|Mfb_HallOffset|UINT16|1|0|NDef|NDef|NDef|1|0||0|NoRes|Hochlauf|1||1|0|0|1||
99|1|END|SAVEPARDVN|no|PAReeprSaveDVN|UINT16|1|0|0|1|0|1|0||0|NoRes|Sofort|0||0|0|0|0||
