List ID	Displayed	Element ID	Value	Label	Description	Drivecom	File

							
ACT	always	...	...	...	Affectations param�tre TUS		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctAutoTuning.xml
		TAB	0	TAB	Default value of the stator resistor is used to control the motor		
		PEND	1	PEND	Autotune has been asked but not yet performed		
		PROG	2	PROG	Autotune is in progress		
		FAIL	3	FAIL	Autotune has failed		
		DONE	4	DONE	The drive management uses the stator resistor measured by the auto-tuning function		

							
ACTION	always	...	...	...	Affectations param�tre TUN		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctAutoTuning.xml
		NO	0	NO	No action		
		YES	1	YES	Action asked		
		CLR	2	CLR	Erase results		

							
ADC	always	...	...	...	Type d'injection Auto		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctAutoDirectCurrent.xml
		NO	0	NO	No DC injected current		
		YES	1	YES	Time limited DC injection		
		CT	2	CT	Continuous DC injection		

							
AIOL	always	...	...	...	Analog input output range list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctAnalogicalInputConfiguration.xml
		POS	0	POS	Positive logical		
		POSNEG	1	NEG	Positive and negative logical		

							
AIOT	always	...	...	...	Analog input output type list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctAnalogicalInputConfiguration.xml
		10U	1	10U	0-10 Volts		
		0A	2	0A	0-20 mA		
		N10U	5	N10U	-10/+10 Volts		

							
ALG	always	...	...	...	alarm group active		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../_Hmi/_Gfx/Src/HmiGfxPrm.xml
		___	0	---			
		1__	1	1--			
		_2_	2	-2-			
		12_	3	12-			
		__3	4	--3			
		1_3	5	1-3			
		_23	6	-23			
		123	7	123			

							
ALTCE	never	...	...	...	Modbus Serveur for Option Board		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../es/src/EsAlcan2.xml
		BG	0	BG	Background		
		FAST	1	FAST	Fast task		
		UNK	2	UNK	Unknown for test		

							
ASOD	never	...	...	...	Angle setting optimization status list		X:\N3R3_DriveSw\Application\Build\Utils\..\..\_PrjAppRSX\Gp\Gen\../../fct/src/FctMotorFluxing.xml
		NO	0	NO	No done		
		Y_M0	1	Y_M0	Done on Motor 0		
		Y_M1	2	Y_M1	Done on Motor 1		
		Y_M2	3	Y_M2	Done on Motor 2		

							
